amphoe_name,province_name,pm25_mean,pm25_std,pm25_min,pm25_max,data_points,latitude,longitude,air_quality_category,air_quality_color,Unnamed: 11,longitude_original,latitude_original
เวียงสา,น่าน,29.24,19.03,9.48,92.81,366,14.075487013295856,101.00737435891523,Unhealthy for Sensitive,#ff7e00,เวียงสา|น่าน,11244089.48,1582878.401
เมืองกาญจนบุรี,กาญจนบุรี,23.49,11.1,10.33,54.91,366,14.072982093530742,99.3297799981325,Moderate,#ffff00,เมืองกาญจนบุรี|กาญจนบุรี,11057340.53,1582590.925
ลอง,แพร่,25.23,18.71,6.73,80.87,366,14.048437985801451,100.40677441434522,Unhealthy for Sensitive,#ff7e00,ลอง|แพร่,11177231.0,1579774.298
บ่อเกลือ,น่าน,27.88,19.23,9.15,97.19,366,14.047269650660397,100.18602331474098,Unhealthy for Sensitive,#ff7e00,บ่อเกลือ|น่าน,11152657.1,1579640.23
เชียงกลาง,น่าน,28.0,20.73,8.37,109.3,366,14.030954897746545,99.96183463203897,Unhealthy for Sensitive,#ff7e00,เชียงกลาง|น่าน,11127700.53,1577768.162
เมืองแพร่,แพร่,27.45,19.42,7.62,90.99,366,14.029993101657647,100.76200178484618,Unhealthy for Sensitive,#ff7e00,เมืองแพร่|แพร่,11216774.73,1577657.803
ปง,พะเยา,27.85,20.09,8.58,96.02,366,14.00682077105803,100.30914029903846,Unhealthy for Sensitive,#ff7e00,ปง|พะเยา,11166362.42,1574999.089
วังโป่ง,เพชรบูรณ์,25.67,14.6,8.96,58.86,366,13.99297030522583,100.53524526790454,Unhealthy for Sensitive,#ff7e00,วังโป่ง|เพชรบูรณ์,11191532.31,1573410.062
สูงเม่น,แพร่,27.27,19.25,7.73,89.15,366,13.977854829336227,100.79017196400935,Unhealthy for Sensitive,#ff7e00,สูงเม่น|แพร่,11219910.62,1571676.013
สันติสุข,น่าน,29.54,19.31,9.69,96.75,366,13.949384867003547,100.09237403620304,Unhealthy for Sensitive,#ff7e00,สันติสุข|น่าน,11142232.11,1568410.245
บรบือ,มหาสารคาม,25.19,12.77,10.37,56.54,366,13.94873772050948,101.24734985475726,Unhealthy for Sensitive,#ff7e00,บรบือ|มหาสารคาม,11270803.43,1568336.016
ท่ามะกา,กาญจนบุรี,23.41,10.64,10.51,54.37,366,13.945726467650063,99.777703714318,Moderate,#ffff00,ท่ามะกา|กาญจนบุรี,11107203.17,1567990.622
ดอกคำใต้,พะเยา,28.11,21.68,7.25,102.15,366,13.931074372918419,100.39446560849068,Unhealthy for Sensitive,#ff7e00,ดอกคำใต้|พะเยา,11175860.79,1566310.075
ดอนเมือง,กรุงเทพมหานคร,22.59,10.19,9.74,52.68,366,13.924877794944994,100.59342474711207,Moderate,#ffff00,ดอนเมือง|กรุงเทพมหานคร,11198008.82,1565599.38
แม่ใจ,พะเยา,28.12,22.01,7.26,103.8,366,13.924267182875939,100.49687489835323,Unhealthy for Sensitive,#ff7e00,แม่ใจ|พะเยา,11187260.94,1565529.349
ท่าม่วง,กาญจนบุรี,23.45,11.34,10.21,55.63,366,13.917729440735794,99.60300124432453,Moderate,#ffff00,ท่าม่วง|กาญจนบุรี,11087755.38,1564779.548
สายไหม,กรุงเทพมหานคร,22.95,9.74,10.43,52.45,366,13.905708291767207,100.65347757301309,Moderate,#ffff00,สายไหม|กรุงเทพมหานคร,11204693.87,1563400.921
กันทรวิชัย,มหาสารคาม,27.38,14.23,10.81,63.92,366,13.889793894993533,101.78891539346384,Unhealthy for Sensitive,#ff7e00,กันทรวิชัย|มหาสารคาม,11331090.23,1561575.913
พยัคฆภูมิพิสัย,มหาสารคาม,23.15,12.25,8.81,58.69,366,13.886627580879146,101.54009122257862,Moderate,#ffff00,พยัคฆภูมิพิสัย|มหาสารคาม,11303391.25,1561212.826
พนมสารคาม,ฉะเชิงเทรา,22.43,9.63,10.84,53.71,366,13.882764297631043,101.0294019479971,Moderate,#ffff00,พนมสารคาม|ฉะเชิงเทรา,11246541.58,1560769.823
หลักสี่,กรุงเทพมหานคร,22.15,10.17,9.35,52.06,366,13.879844059860181,100.56782698359649,Moderate,#ffff00,หลักสี่|กรุงเทพมหานคร,11195159.29,1560434.964
วาปีปทุม,มหาสารคาม,24.73,12.89,9.73,58.16,366,13.879653195189823,101.42047317631278,Moderate,#ffff00,วาปีปทุม|มหาสารคาม,11290075.43,1560413.078
คลองสามวา,กรุงเทพมหานคร,23.13,9.49,10.88,52.21,366,13.874536854186795,100.73886585436674,Moderate,#ffff00,คลองสามวา|กรุงเทพมหานคร,11214199.25,1559826.406
บางเขน,กรุงเทพมหานคร,22.9,9.62,10.43,51.83,366,13.866804971419828,100.63036508856257,Moderate,#ffff00,บางเขน|กรุงเทพมหานคร,11202121.0,1558939.844
จุน,พะเยา,27.93,21.36,7.76,101.17,366,13.857338178849876,100.49104492199082,Unhealthy for Sensitive,#ff7e00,จุน|พะเยา,11186611.95,1557854.392
เชียงม่วน,พะเยา,27.56,19.68,8.48,91.9,366,13.856338286245583,100.36977451459137,Unhealthy for Sensitive,#ff7e00,เชียงม่วน|พะเยา,11173112.19,1557739.748
หนองจอก,กรุงเทพมหานคร,23.13,9.42,11.04,52.29,366,13.852357956879471,100.85734744196665,Moderate,#ffff00,หนองจอก|กรุงเทพมหานคร,11227388.56,1557283.383
